subject_name,course_name,course_url
Computer Science,Machine Learning,/course/machine-learning-835
Computer Science,Elements of AI,/course/independent-elements-of-ai-12469
Computer Science,Introduction to Computer Science and Programming Using Python,/course/edx-introduction-to-computer-science-and-programming-using-python-1341
Computer Science,CS50's Introduction to Computer Science,/course/edx-cs50-s-introduction-to-computer-science-442
Computer Science,Machine Learning for Musicians and Artists,/course/kadenze-machine-learning-for-musicians-and-artists-3768
Computer Science,Functional Programming Principles in Scala,/course/progfun-422
Computer Science,"Algorithms, Part I",/course/algs4partI-339
Computer Science,Cryptography I,/course/crypto-616
Computer Science,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",/course/algorithms-divide-conquer-374
Computer Science,Functional Program Design in Scala,/course/progfun2-1186
Computer Science,Creative Applications of Deep Learning with TensorFlow,/course/kadenze-creative-applications-of-deep-learning-with-tensorflow-6679
Computer Science,"Internet History, Technology, and Security",/course/insidetheinternet-335
Computer Science,Introduction to Linux,/course/edx-introduction-to-linux-1857
Computer Science,CS188.1x: Artificial Intelligence,/course/edx-cs188-1x-artificial-intelligence-445
Computer Science,Fundamentos TIC para profesionales de negocios: Hardware,/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086
Computer Science,"Algorithms, Part II",/course/algs4partII-340
Computer Science,Introduction to Artificial Intelligence,/course/udacity-introduction-to-artificial-intelligence-301
Computer Science,Machine Learning Foundations: A Case Study Approach,/course/ml-foundations-4352
Computer Science,Web Security Fundamentals,/course/edx-web-security-fundamentals-8726
Computer Science,Julia Scientific Programming,/course/julia-programming-7092
Computer Science,Automata Theory,/course/stanford-openedx-automata-theory-376
Computer Science,Intro to Machine Learning,/course/udacity-intro-to-machine-learning-2996
Computer Science,The Nature of Code,/course/kadenze-the-nature-of-code-3777
Computer Science,Introduction to Cyber Security,/course/introduction-to-cyber-security-2448
Computer Science,Computer Science 101,/course/stanford-openedx-computer-science-101-2175
Computer Science,Discrete Optimization,/course/optimization-487
Computer Science,Introduction to the Internet of Things and Embedded Systems,/course/iot-4338
Computer Science,The Arduino Platform and C Programming,/course/arduino-platform-4206
Computer Science,Fundamentos TIC para profesionales de negocios: Desarrollo de Software,/course/edx-fundamentos-tic-para-profesionales-de-negocios-desarrollo-de-software-8495
Computer Science,Cybersecurity Fundamentals,/course/edx-cybersecurity-fundamentals-7844
Computer Science,Machine Learning for Trading,/course/udacity-machine-learning-for-trading-1026
Computer Science,Machine Learning for Data Science and Analytics,/course/edx-machine-learning-for-data-science-and-analytics-4912
Computer Science,Principles of Computing (Part 1),/course/principlescomputing1-1724
Computer Science,Computational Neuroscience,/course/compneuro-449
Computer Science,Design of Computer Programs,/course/udacity-design-of-computer-programs-323
Computer Science,Cryptography,/course/cryptography-1730
Computer Science,How to Code: Simple Data,/course/edx-how-to-code-simple-data-3465
Computer Science,Introduction to Software Product Management,/course/introduction-to-software-product-managem-4196
Computer Science,Introduction to Computer Networking,/course/stanford-openedx-introduction-to-computer-networking-1578
Computer Science,Practical Machine Learning,/course/predmachlearn-1719
Computer Science,Software Security ,/course/software-security-1728
Computer Science,Learning from Data (Introductory Machine Learning course),/course/independent-learning-from-data-introductory-machine-learning-course-366
Computer Science,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),/course/build-a-computer-3234
Computer Science,Fundamentos TIC para profesionales de negocios: Aplicaciones empresariales,/course/edx-fundamentos-tic-para-profesionales-de-negocios-aplicaciones-empresariales-7475
Computer Science,Software Processes and Agile Practices,/course/software-processes-and-agile-practices-4187
Computer Science,Reinforcement Learning,/course/udacity-reinforcement-learning-1849
Computer Science,"Practical Deep Learning For Coders, Part 1",/course/independent-practical-deep-learning-for-coders-part-1-7887
Computer Science,Biometric Technologies: Identification for the Future (January 2019),/course/canvas-network-biometric-technologies-identification-for-the-future-january-2019-4037
Computer Science,Aprendizaje automático y ciencia de datos,/course/edx-aprendizaje-automatico-y-ciencia-de-datos-12250
Computer Science,Algorithmic Toolbox,/course/algorithmic-toolbox-5471
Science,Mountains 101,/course/mountains-101-7455
Science,Introduction to Complexity,/course/complexity-explorer-introduction-to-complexity-557
Science,Extinctions: Past and Present,/course/extinctions-past-present-8004
Science,Quantum Mechanics for Everyone,/course/edx-quantum-mechanics-for-everyone-8284
Science,Dino 101: Dinosaur Paleobiology,/course/dino101-1057
Science,The Science of Everyday Thinking,/course/edx-the-science-of-everyday-thinking-1332
Science,Medical Neuroscience,/course/medicalneuro-384
Science,The Science of the Solar System,/course/solarsystem-1813
Science,Astrobiology and the Search for Extraterrestrial Life,/course/astrobio-415
Science,Introduction to Biology - The Secret of Life,/course/edx-introduction-to-biology-the-secret-of-life-637
Science,Introductory Human Physiology,/course/humanphysio-380
Science,Anatomy: Know Your Abdomen,/course/anatomy-know-your-abdomen-5008
Science,Understanding the Brain: The Neurobiology of Everyday Life,/course/neurobio-1606
Science,Algorithms for DNA Sequencing,/course/ads1-3433
Education & Teaching,Critical Thinking at University: An Introduction,/course/critical-thinking-at-university-12273
Science,Técnicas Cuantitativas y Cualitativas para la Investigación,/course/edx-tecnicas-cuantitativas-y-cualitativas-para-la-investigacion-6601
Science,Dog Emotion and Cognition,/course/coursera-dog-emotion-and-cognition-3627
Science,Atmospheric Chemistry: Planets and Life Beyond Earth,/course/atmospheric-chemistry-planets-and-life-beyond-ear-12703
Science,Ecology and Wildlife Conservation,/course/ecology-and-wildlife-conservation-13667
Science,Best Practices for Biomedical Research Data Management (HE),/course/canvas-network-best-practices-for-biomedical-research-data-management-he-10172
Science,Climate Change Mitigation in Developing Countries,/course/climate-change-mitigation-5054
Science,Zoologia,/course/edx-zoologia-11407
Science,The Brain and Space,/course/brainspace-1362
Science,Astronomy: Exploring Time and Space,/course/astro-3007
Science,Introducción a la Estructura de la Materia,/course/edx-introduccion-a-la-estructura-de-la-materia-3066
Science,Genomic Data Science with Galaxy,/course/gengalaxy-3473
Science,Genes and the Human Condition (From Behavior to Biotechnology),/course/genes-597
Science,Animal Behaviour and Welfare,/course/animal-1357
Education & Teaching,The IB Extended Essay: Managing your Research Project,/course/ib-extended-essay-12702
Education & Teaching,"Education for All: Disability, Diversity and Inclusion ",/course/education-for-all-5664
Education & Teaching,Teaching Character and Creating Positive Classrooms ,/course/teaching-character-866
Education & Teaching,Modelli di insegnamento nella ricerca educativa,/course/edx-modelli-di-insegnamento-nella-ricerca-educativa-11405
Education & Teaching,Leaders of Learning,/course/edx-leaders-of-learning-2027
Education & Teaching,Aprendizaje y Enseñanza Virtual,/course/edx-aprendizaje-y-ensenanza-virtual-7266
Education & Teaching,Applying to U.S. Universities,/course/usuniversities-1620
Education & Teaching,"American Education Reform: History, Policy, Practice",/course/edref-2793
Education & Teaching,Learning Online: Searching and Researching,/course/searching-and-researching-5019
Education & Teaching,Introducción a las tecnologías para la Educación,/course/edx-introduccion-a-las-tecnologias-para-la-educacion-2956
Education & Teaching,Fundamentos TIC para profesionales de negocios: programación,/course/edx-fundamentos-tic-para-profesionales-de-negocios-programacion-9131
Education & Teaching,网络课程与学习评价,/course/wangluo-kecheng-xuexi-pingjia-5919
Education & Teaching,Blended Learning: Personalizing Education for Students,/course/blendedlearning-1199
Education & Teaching,What future for education?,/course/futureeducation-2033
Education & Teaching,Multimodal Literacies: Communication and Learning in the Era of Digital Media ,/course/multimodal-literacies-7057
Education & Teaching,"Teach English Now! Second Language Listening, Speaking, and Pronunciation",/course/tesol-speaking-6201
Education & Teaching,Teaching Science at University,/course/teachingscience-7791
Education & Teaching,How to Apply to College,/course/applying-to-college-7504
Education & Teaching,Prepare to Run a Code Club,/course/code-club-9557
Education & Teaching,Cómo hacer una tesis,/course/como-hacer-una-tesis-9595
Education & Teaching,"Промышленность, инженерное образование и наука: история и перспективы",/course/promyshlennost-9944
Education & Teaching,Basics of Inclusive Design for Online Education,/course/inclusive-design-11169
Science,The Science of Gastronomy,/course/scigast-519
Science,Intro to Physics,/course/udacity-intro-to-physics-363
Science,Greatest Unsolved Mysteries of the Universe,/course/edx-greatest-unsolved-mysteries-of-the-universe-1598
Science,Introduction to Genomic Technologies,/course/genintro-3472
Science,Introduction to Physical Chemistry,/course/physicalchemistry-1456
Science,AstroTech: The Science and Technology behind Astronomical Discovery,/course/astrotech-1360
Science,"Synapses, Neurons and Brains ",/course/bluebrain-504
Science,Introduction to Forensic Science,/course/ntufsc-1264
Science,Applications of Quantum Mechanics,/course/edx-applications-of-quantum-mechanics-12749
Science,Introduction to Genetics and Evolution,/course/geneticsevolution-381
Science,Gut Check: Exploring Your Microbiome,/course/microbiome-2305
Science,"Biochemistry: Biomolecules, Methods, and Mechanisms",/course/edx-biochemistry-biomolecules-methods-and-mechanisms-12585
Science,Command Line Tools for Genomic Data Science,/course/gencommand-3474
Science,Advanced Chemistry,/course/advancedchemistry-1468
Science,Physics-Based Sound Synthesis for Games and Interactive Systems,/course/kadenze-physics-based-sound-synthesis-for-games-and-interactive-systems-3763
Science,Monitoring Volcanoes and Magma Movements,/course/edx-monitoring-volcanoes-and-magma-movements-13227
Science,Science & Cooking: From Haute Cuisine to Soft Matter Science (part 1),/course/edx-science-cooking-from-haute-cuisine-to-soft-matter-science-part-1-811
Science,Quantum Mechanics: 1D Scattering and Central Potentials,/course/edx-quantum-mechanics-1d-scattering-and-central-potentials-8769
Science,Sheep in the Land of Fire and Ice,/course/edx-sheep-in-the-land-of-fire-and-ice-13245
Science,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",/course/edx-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron-942
Science,Astrophysics: Exploring Exoplanets,/course/edx-astrophysics-exploring-exoplanets-1635
Science,Astrophysics: Cosmology,/course/edx-astrophysics-cosmology-3031
Education & Teaching,Learning Technologies Foundations and Applications,/course/learning-technologies-foundations-applic-12877
Education & Teaching,Instructional Design Foundations and Applications,/course/instructional-design-foundations-applica-12317
Education & Teaching,Becoming a Better Music Teacher,/course/becoming-a-better-music-teacher-13620
Education & Teaching,Disability Inclusion in Education: Building Systems of Support ,/course/disability-inclusion-education-12590
Education & Teaching,Contenido de las matemáticas de primaria,/course/contenido-matematica-escolar-11756
Education & Teaching,Teaching Phonics in Early Childhood,/course/teaching-phonics-11770
Education & Teaching,Creating Apps in the Classroom,/course/creating-apps-classroom-11541
Education & Teaching,Assessment in Higher Education: Professional Development for Teachers,/course/assessment-higher-education-10184
Education & Teaching,MOOC and Blended Learning,/course/mooc-blended-learning-13846
Education & Teaching,Blended Language Learning: Design and Practice for Teachers,/course/blended-language-learning-design-practic-13862
Education & Teaching,Claves para la innovación en la docencia universitaria,/course/innovacion-docencia-universitaria-13643
Science,Climate Change Science and Negotiations,/course/edx-climate-change-science-and-negotiations-2484
Education & Teaching,Understanding IELTS: Speaking,/course/understanding-ielts-speaking-17037
Education & Teaching,Understanding IELTS: Reading,/course/understanding-ielts-reading-17038
