subject_name,course_name,course_url
Art & Design,Gamification,/course/gamification-343
Art & Design,Sustainability in Architecture: An Interdisciplinary Introduction,/course/edx-sustainability-in-architecture-an-interdisciplinary-introduction-11438
Art & Design,Introduction to Real-Time Audio Programming in ChucK,/course/kadenze-introduction-to-real-time-audio-programming-in-chuck-3749
Art & Design,Sound Production in Ableton Live for Musicians and Artists,/course/kadenze-sound-production-in-ableton-live-for-musicians-and-artists-3765
Art & Design,Radio para internet con Podcast: creación y conceptos básicos,/course/edx-radio-para-internet-con-podcast-creacion-y-conceptos-basicos-11824
Art & Design,Introduction to Graphic Illustration,/course/kadenze-introduction-to-graphic-illustration-3773
Art & Design,Programming Max: Structuring Interactive Software for Digital Arts,/course/kadenze-programming-max-structuring-interactive-software-for-digital-arts-6411
Art & Design,Design: Creation of Artifacts in Society,/course/design-371
Art & Design,Roman Architecture,/course/romanarchitecture-910
Art & Design,Comics: Art in Relationship,/course/kadenze-comics-art-in-relationship-3775
Art & Design,Intro to the Design of Everyday Things,/course/udacity-intro-to-the-design-of-everyday-things-1044
Art & Design,A Global History of Architecture,/course/edx-a-global-history-of-architecture-928
Art & Design,Introduction to Graphic Design History,/course/kadenze-introduction-to-graphic-design-history-5892
Art & Design,Sound Synthesis Using Reaktor,/course/kadenze-sound-synthesis-using-reaktor-3766
Art & Design,The Modern Genius: Art and Culture in the 19th Century,/course/kadenze-the-modern-genius-art-and-culture-in-the-19th-century-3747
Art & Design,Fundamentals of Music Theory,/course/musictheory-1358
Art & Design,Sexing the Canvas: Art and Gender,/course/sexingthecanvas-4053
Art & Design,Composición de canciones,/course/composicion-canciones-4871
Art & Design,Introducción a la producción de música,/course/music-productiones-4624
Art & Design,Introduction to UI Design,/course/ui-design-6890
Art & Design,Developing Your Musicianship: Final Project,/course/musicianship-final-project-7052
Art & Design,¿Cómo (nos) cambia la Tecnología?,/course/comonoscambialatecnologia-7110
Art & Design,Fundamentals of Rehearsing Music Ensembles,/course/music-ensembles-731
Art & Design,Write Like Mozart: An Introduction to Classical Music Composition,/course/classicalcomp-735
Art & Design,Proyecto final de Músico moderno,/course/proyecto-musico-5255
Art & Design,ART of the MOOC: Public Art and Pedagogy,/course/moocs-4095
Art & Design,Pro Tools Basics,/course/protoolsbasics-5436
Art & Design,Serious Gaming,/course/serious-gaming-6185
Art & Design,The Art of Vocal Production,/course/vocal-production-7797
Art & Design,Introducción a la Producción Audiovisual,/course/intro-produccion-audiovisual-9357
Art & Design,Introdução à Guitarra,/course/intro-guitarra-9415
Art & Design,A tecnologia da produção musical ,/course/tecnologia-producao-musical-9642
Art & Design,ART of the MOOC: Activismo y Movimientos Sociales,/course/activismo-movimientos-sociales-7194
Art & Design,ART of the MOOC: Activism and Social Movements,/course/activism-social-movements-7195
Art & Design,ART of the MOOC: Arte Público y Pedagogía ,/course/arte-publico-pedagogia-7196
Art & Design,Making Architecture,/course/making-architecture-7153
Art & Design,Как читать фотографию,/course/kak-chitat-fotografiyu-12795
Art & Design,Becoming a Better Music Teacher,/course/becoming-a-better-music-teacher-13620
Art & Design,Guitar Scales and Chord Progressions,/course/guitar-scales-chord-progressions-11773
Art & Design,Cultural and creative industries,/course/cultural-creative-industries-10331
Art & Design,Approaching Music Theory: Melodic Forms and Simple Harmony,/course/melodic-forms-simple-harmony-13653
Art & Design,The Language of Design: Form and Meaning,/course/design-language-16927
Art & Design,What Is Contemporary Art?,/course/contemporary-art-17106
Art & Design,Understanding Fashion: From Business to Culture,/course/understanding-fashion-from-business-to-culture-14492
Art & Design,Introducción al Arte Sonoro,/course/introduccion-arte-sonoro-14495
Art & Design,The World of the String Quartet,/course/stringquartet-2499
Art & Design,微影人的自我修养,/course/microfilmer-2706
Art & Design,20世纪西方音乐 Western Music in the 20th Century,/course/20cnwm-2358
Art & Design,Ignite Your Everyday Creativity,/course/creative-3139
Art & Design,Introduction to Ableton Live,/course/abletonlive-2988
Art & Design,Entender el diseño,/course/entender-diseno-4819
Art & Design,Physical Theatre: Exploring the Slap,/course/physical-theatre-exploring-the-slap-6096
Art & Design,Producción Musical y su Efecto en la Composición,/course/produccionycomposicion-4718
Art & Design,Introducción a la guitarra,/course/guitarra-4763
Art & Design,Seeing Through Photographs,/course/photography-5682
Art & Design,UI Design Capstone,/course/ui-design-capstone-6928
Art & Design,An Introduction to Screenwriting,/course/screenwriting-4550
Art & Design,Music Business Foundations,/course/music-business-foundations-4429
Art & Design,崑曲之美,/course/kunqu-652
Art & Design,The Olympic Games and the Media,/course/olympicgames-1772
Art & Design,Input and Interaction,/course/interaction-techniques-4245
Art & Design,Human-Centered Design: an Introduction,/course/human-computer-interaction-4287
Art & Design,Social Computing,/course/social-computing-4290
Art & Design,Design Principles: an Introduction,/course/design-principles-4296
Art & Design,Interaction Design Capstone Project,/course/interaction-design-capstone-5140
Art & Design,Modern Art & Ideas,/course/modern-art-ideas-4163
Art & Design,Composição: Escrevendo a letra,/course/composicao-escrevendo-letra-9457
Art & Design,Improvisação no Jazz,/course/improvisacao-no-jazz-9458
Art & Design,Desenvolvendo sua musicalidade,/course/desenvolvendo-musicalidade-9459
Art & Design,Fashion as Design,/course/fashion-design-9416
Art & Design,透过摄影看世界,/course/photography-1-6985
Art & Design,A Scientific Approach to Innovation Management,/course/scientific-approach-innovation-managemen-13223
Art & Design,Art of the MOOC:  Experiments with Sound,/course/experiments-with-sound-10762
Art & Design,"Innovation Through Design: Think, Make, Break, Repeat",/course/innovation-through-design-11588
Art & Design,An Introduction to Accessibility and Inclusive Design,/course/accessibility-13860
Art & Design,Exploring Beethoven's Piano Sonatas Part 5,/course/exploring-beethoven-piano-sonatas-5-16976
Art & Design,Getting Your Film off the Ground ,/course/film-off-ground-15230
Art & Design,Star Trek: Inspiring Culture and Technology III,/course/edx-star-trek-inspiring-culture-and-technology-iii-15239
Art & Design,Songwriting: Writing the Lyrics,/course/songwriting-lyrics-523
Art & Design,Guitar for Beginners,/course/guitar-522
Art & Design,The Music of the Beatles,/course/beatles-1135
Art & Design,Introduction to Classical Music,/course/introclassicalmusic-2987
Art & Design,Fundamentals of Graphic Design,/course/fundamentals-of-graphic-design-4792
Art & Design,"History of Rock, Part One",/course/historyofrock1-690
Art & Design,Music Theory Level 2: Part Nine,/course/kadenze-music-theory-level-2-part-nine-17000
Art & Design,The New World of Arnold Schönberg's Piano Music,/course/stanford-openedx-the-new-world-of-arnold-schonberg-s-piano-music-17139
Art & Design,Developing Your Musicianship,/course/musicianship-1726
Art & Design,Exploring Beethoven's Piano Sonatas Part 4,/course/exploring-beethoven-piano-sonatas-4-12766
Art & Design,How Music Can Change Your Life,/course/music-life-6634
Art & Design,创作吧！微影人！,/course/wei-dian-ying-chuang-zuo-5611
Art & Design,Applications in Communication Acoustics,/course/edx-applications-in-communication-acoustics-9293
Art & Design,Creatividad computacional,/course/creatividad-computacional-12450
Art & Design,Theories of Media and Technology,/course/edx-theories-of-media-and-technology-13439
Art & Design,Western Music in the 20th Century,/course/edx-western-music-in-the-20th-century-1229
Art & Design,Réalisez vos vidéos 3D-relief !,/course/ionis-realisez-vos-videos-3d-relief-2183
